Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1993","1993","1000 ha","177997.6","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1994","1994","1000 ha","177848.8","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1995","1995","1000 ha","177700","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1996","1996","1000 ha","176850.7","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1997","1997","1000 ha","176001.4","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1998","1998","1000 ha","175152.1","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1999","1999","1000 ha","174302.8","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2000","2000","1000 ha","173453.5","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2001","2001","1000 ha","172604.2","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2002","2002","1000 ha","171754.9","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2003","2003","1000 ha","170905.6","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2004","2004","1000 ha","170056.3","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2005","2005","1000 ha","169207","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2006","2006","1000 ha","168358","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2007","2007","1000 ha","168812.8","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2008","2008","1000 ha","169267.6","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2009","2009","1000 ha","169722.4","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2010","2010","1000 ha","170177.2","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2011","2011","1000 ha","170632","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2012","2012","1000 ha","171086.8","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2013","2013","1000 ha","171541.6","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2014","2014","1000 ha","171996.4","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2015","2015","1000 ha","172451.2","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","1000 ha","172906","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2017","2017","1000 ha","173360.8","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2018","2018","1000 ha","173360.801","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2019","2019","1000 ha","173360.801","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","2020","2020","1000 ha","173360.801","I","Imputed value"
